,Titre,Auteur,Summary
927,Se souvenir des jours de fête ,Christian Signol,"« Il faut se souvenir des jours de fête où nous avons été heureux et tout faire pour les revivre un jour... » 1939. L'orage qui gronde au loin sonne la fin des années d'insouciance. A Toulouse comme ailleurs, les hommes qui refusent de voir grandir leurs enfants dans une Europe soumise aux nazis s'engagent et partent pour le front. Beaucoup n'en reviendront pas. D'autres, comme Etienne, prisonniers en terre ennemie se retrouvent ballotés de camps en camps, toujours plus rudes à chaque tentative d'évasion. Au pays, les femmes ne baissent pas les bras. Mélina, qui vient de mettre au monde un petit garçon, est persuadée que pour revoir un jour son mari, elle doit se montrer digne de lui. Confiant leur enfant à un couple d'amis, elle s'engage dans la lutte et rejoint la Résistance... Après Nos si beaux rêves de jeunesse, cette vaste fresque, qui nous entraine des bords de la Garonne à la Prusse orientale, est un hymne à la vie, la liberté et l'espérance. Vous n'êtes pas prêts d'oublier Etienne et Mélina, ce jeune couple qui se bat avec la folle certitude que rien ni personne ne pourra jamais les séparer."
928,Conspiration ,Eric Giacometti,"De la France aux États-Unis, Marcas, mis sur la touche par sa hiérarchie, va devoir retrouver un secret qui hante l’histoire de France et dont la possession peut détruire les démocraties occidentales. Deux siècles plus tôt, en pleine Révolution française, l’inspecteur Ferragus – présent dans les Illuminati – est entraîné dans une implacable course contre la montre pour démasquer le groupe occulte qui veut s’emparer du même secret. Au cœur de ce secret, le pouvoir absolu."
929,L'été avant la guerre ,Helen Simonson,"Après l'immense succès de La Dernière Conquête du Major Pettigrew, le deuxième roman pétillant et so british d'Helen Simonson. Été 1914, dans la campagne anglaise. La gentry de Rye reçoit pour un pique-nique sur le gazon fraîchement tondu. Les ombrelles et les chapeaux sont de sortie et c'est l'occasion pour Beatrice Nash, vingt-trois ans, nouvelle professeure de latin récemment débarquée dans la petite ville, de faire plus ample connaissance avec les personnalités locales. Elle est chaperonnée par Agatha Kent, dont les deux neveux, Daniel et Hugh, ne la laissent pas insensible, bien qu'elle ait fait voeu de célibat. Orpheline et sous la tutelle d'une famille bien-pensante, Beatrice veut gagner son indépendance et devenir écrivain, des choix audacieux pour une jeune fi lle sans le sou en ce début de siècle. Ses projets, comme ceux de tous les habitants de Rye, vont être bouleversés par l'entrée en guerre de la Grande-Bretagne. La petite communauté accueille les premiers réfugiés et les hommes s'engagent. Beatrice voit partir Hugh avec un sentiment qu'elle peine à nommer..."
930,En attendant Bojangles ,Olivier Bourdeaut,"Sous le regard émerveillé de leur fils, ils dansent sur «Mr. Bojangles» de Nina Simone. Leur amour est magique, vertigineux, une fête perpétuelle. Chez eux, il n’y a de place que pour le plaisir, la fantaisie et les amis.Celle qui mène le bal, c’est la mère, imprévisible et extravagante. Elle n’a de cesse de les entraîner dans un tourbillon de poésie et de chimères.Un jour, pourtant, elle va trop loin. Et père et fils feront tout pour éviter l’inéluctable, pour que la fête continue, coûte que coûte.L’amour fou n’a jamais si bien porté son nom."
931,Au bonheur des ogres ,Daniel Pennac,"Côté famille, maman s'est tirée une fois de plus en m'abandonnant les mômes, et le Petit s'est mis à rêver d'ogres Noël. Côté cœur, tante Julia a été séduite par ma nature de bouc (de bouc émissaire). Côté boulot, la première bombe a explosé au rayon des jouets, cinq minutes après mon passage. La deuxième, quinze jours plus tard, au rayon des pulls, sous mes yeux. Comme j'étais là aussi pour l'explosion de la troisième, ils m'ont tous soupçonné. Pourquoi moi ? Je dois avoir un don..."
932,Pastorale américaine ,Philip Roth,"Après trente-six ans, Zuckerman l'écrivain retrouve Seymour Levov dit "" le Suédois "", l'athlète vedette de son lycée de Newark. Toujours aussi splendide, Levov l'invincible, le généreux, l'idole des années de guerre, le petit-fils d'immigrés juifs est devenu un Américain plus vrai que nature. Le Suédois a réussi sa vie, faisant prospérer la ganterie paternelle, épousant la très irlandaise Miss New Jersey 1949, régnant loin de la ville sur une vieille demeure de pierre encadrée d'érables centenaires : la pastorale américaine. Mais la photo est incomplète. Hors champ, il y a Merry, la fille rebelle, et, avec elle surgit, dans cet enclos idyllique, le spectre d'une autre Amérique en pleine convulsion, celle des années soixante, de sainte Angela Davis, des rues de Newark à feu et à sang..."
933,Une forêt obscure ,Fabio M. Mitchelli,""" Je n'ai rien d'un monstre. Je suis là uniquement pour nourrir l'esprit de la forêt, en lui offrant la chair de la jeunesse. "" Daniel Singleton, alias Robert Christian Hansen (1939-2014), le monstre d'Anchorage. À Montréal, Luka diffuse sur le Web les images des animaux qu'il torture, puis celles de son amant qu'il assassine à coups de pic à glace. Pour enquêter sur une telle affaire, il faut un flic borderline comme Louise Beaulieu. En Alaska, dans la petite ville de Juneau, deux jeunes filles sont découvertes en état de choc. Pour comprendre, il faut un flic comme Carrie Callan, qui va exhumer les vieux secrets et regarder le passé en face. Le point commun à ces deux affaires : Daniel Singleton, un tueur en série. Du fond de sa cellule, il élabore le piège qui va pousser Louise à aller plus loin, toujours plus loin... Jusqu'à la forêt de Tongass, là où le mensonge corrode tout, là où les pistes que suivent les deux enquêtrices vont se rejoindre. Ce roman est librement inspiré du meurtre commis par Luka Rocco Magnotta en 2012, ainsi que des crimes de Robert Christian Hansen, qui a violé et assassiné 17 femmes entre 1971 et 1983. "" Un talent immense. "" Gérard Collard, librairie La Griffe noire, Saint-Maur. "" Une vraie bombe dans l'univers du thriller français ! "" Sandra Bonnélie, blog "" Passion Thrillers ""."
934,Épilogue meurtrier ,Pétros Márkaris, 
935,Ce qui reste de nos vies ,Zeruya Shalev, 
936,Menace sur Rio ,James Patterson, 
937,Bravoure ,Danielle Steel,"Sur le fil du bonheur Alex von Hemmerle et Nicolas von Bingen, deux aristocrates, sont liés depuis l'enfance par une amitié indéfectible. Face à la montée du nazisme, Nicolas doit abandonner son Allemagne natale : un secret met sa vie et celle de ses deux fils en péril. Fuir vers les États-Unis semble la seule issue possible ; malheureusement, les conditions d'entrée dans le pays sont de plus en plus strictes et Nicolas doit absolument trouver un emploi pour émigrer. Grâce à l'aide d'Alex, qui lui fournit huit chevaux parfaitement dressés, un cirque accepte d'engager le jeune homme. L'adaptation à la vie nomade est difficile, mais Nicolas devient vite la star du spectacle – sans toutefois égaler Christianna Markovich, l'équilibriste qui évolue, aérienne, à des dizaines de mètres du sol. L'attraction entre les deux étoiles est évidente, et ils vont, ensemble, exécuter un numéro..."
938,L'insomnie des étoiles ,Marc Dugain, 
939,Tous nos jours parfaits ,Jennifer Niven, 
940,Le condor ,Stig Holmås, 
941,King Kong théorie ,Virginie Despentes, 
942,Cerium ,Gérard Filoche, 
943,Dark matter ,Blake Crouch, 
944,Constance ,Rosie Thomas, 
945,Le bal mécanique ,Yannick Grannec, 
946,Trois femmes puissantes ,Marie NDiaye, 
947,Marie Curie prend un amant ,Irène Frain, 
948,Toutes ces grandes questions sans réponse ,Douglas Kennedy, 
949,L'apprentissage de Duddy Kravitz ,Mordecai Richler, 
950,Glacé ,Bernard Minier, 
951,Les cygnes de la Cinquième Avenue ,Melanie Benjamin, 
952,Révolution ,James Dashner, 
953,Fief ,David Lopez, 
954,Une femme aimée ,Andreï Makine, 
955,Du sable dans la bouche ,Hervé Le Corre, 
956,Cinq jours ,Douglas Kennedy, 
957,L'écume des jours ,Boris Vian, 
958,Treize façons de voir ,Colum McCann, 
959,"Héloïse, ouille ! ",Jean Teulé, 
960,Le philosophe qui n'était pas sage ,Laurent Gounelle, 
961,L'effroi ,François Garde, 
962,Ubik ,Philip Kindred Dick, 
963,Missing ,Don Winslow, 
964,Les histoires de Franz ,Martin Winckler, 
965,Dossier 64 ,Jussi Adler-Olsen, 
966,Comme un feu secret ,Belva Plain, 
967,Monsieur Origami ,Jean-Marc Ceci, 
968,La Peste ,Albert Camus, 
969,Une sorcière à l'école ,Serge Bloch, 
970,Esprit d'hiver ,Laura Kasischke, 
971,Les temps sauvages ,Ian Manook, 
972,Un escargot tout chaud ,Isabelle Mergault, 
973,Alex ,Pierre Lemaitre, 
974,Les  Minuscules ,Roald Dahl, 
975,La femme du gardien de zoo ,Diane Ackerman, 
976,La sirène ,Kiera Cass, 
977,Prague fatale ,Philip Kerr, 
978,À découvert ,Harlan Coben, 
979,L'île au rébus ,Peter May, 
980,Dans l'épaisseur de la chair ,Jean-Marie Blas de Roblès, 
981,Tabou ,Ferdinand von Schirach, 
982,Les larmes de la pinède ,Jean-Paul Malaval, 
983,Comme l'ombre qui s'en va ,Antonio Muñoz Molina, 
984,Serment d'automne ,Françoise Bourdin, 
985,Les quatre filles du révérend Latimer ,Colleen McCullough, 
986,Écrire la vie ,Annie Ernaux, 
987,Deux gouttes d'eau ,Jacques Expert, 
988,Daisy sisters ,Henning Mankell, 
989,Fin de partie ,Samuel Beckett, 
990,Personne ne veut savoir ,Alicia Giménez Bartlett, 
991,Jardin d'hiver ,Olivier Paquet, 
992,Mission confidentielle ,Lee Child, 
993,La tristesse du samouraï ,Víctor del Árbol, 
994,Reconnaissance ,Pierre Péju,"""Un soir, dans un refuge de haute montagne, un mystérieux randonneur m’a fait don d’un bloc transparent qu’il prétendait être le ""Cristal du Temps"". Plus tard, au lieu de me remettre à la rédaction de mon roman, j’y ai plongé les yeux. Des moments de ma vie ont surgi en désordre : scènes banales ou incongrues, êtres perdus de vue, anecdotes auxquelles je n’aurais jamais repensé, comme la mise à mort d’un lapin, la folie d’une jeune plasticienne russe, un amnésique oublié, la femme qui voulait devenir un ange, les singes dans les ruines d’un temple khmer, les gosses cruels des rues du Caire... Fasciné, j’étais contraint de reconnaître – comme un homme admet être le père d’un enfant – que ces aventures invraisemblables, ces rencontres sans lendemain, étaient bien miennes. Le cristal m’en restituait chaque détail. Impitoyable, il m’infligeait aussi le souvenir de mes propres rêves et quelques images de mon avenir. Cette ""vie réelle"", j’ai voulu l’écrire. Ce vaste désordre s’est transmué en récits, histoires étranges et fragments romanesques. Explorateur en territoire dangereux, je racontais. Immense était ma reconnaissance envers le monde, sa variété, sa douleur et son énigme."" Pierre Péju."
995,No et moi ,Delphine de Vigan,"Lou Bertignac a 13 ans, un QI de 160 et des questions plein la tête. Les yeux grand ouverts, elle observe les gens, collectionne les mots, se livre à des expériences domestiques et dévore les encyclopédies. Enfant unique d’une famille en déséquilibre, entre une mère brisée et un père champion de la bonne humeur feinte, dans l’obscurité d’un appartement dont les rideaux restent tirés, Lou invente des théories pour apprivoiser le monde. A la gare d’Austerlitz, elle rencontre No, une jeune fille SDF à peine plus âgée qu’elle. No, son visage fatigué, ses vêtements sales, son silence. No, privée d’amour, rebelle, sauvage. No dont l’errance et la solitude questionnent le monde. Des hommes et des femmes dorment dans la rue, font la queue pour un repas chaud, marchent pour ne pas mourir de froid. « Les choses sont ce qu’elles sont ». Voilà ce dont il faudrait se contenter pour expliquer la violence qui nous entoure. Ce qu’il faudrait admettre. Mais Lou voudrait que les choses soient autrement. Que la terre change de sens, que la réalité ressemble aux affiches du métro, que chacun trouve sa place. Alors elle décide de sauver No, de lui donner un toit, une famille, se lance dans une expérience de grande envergure menée contre le destin. Envers et contre tous. Roman d’apprentissage, No et moi est un rêve d’adolescence soumis à l’épreuve du réel. Un regard d’enfant précoce, naïf et lucide, posé sur la misère du monde. Un regard de petite fille grandie trop vite, sombre et fantaisiste.Un regard sur ce qui nous porte et ce qui nous manque, à jamais."
